views,date
333.144561,2021-08-01T00:00:00Z
320.570013,2021-08-02T00:00:00Z
312.812429,2021-08-03T00:00:00Z
312.665692,2021-08-04T00:00:00Z
313.922147,2021-08-05T00:00:00Z
308.158272,2021-08-06T00:00:00Z
319.242436,2021-08-07T00:00:00Z
332.396017,2021-08-08T00:00:00Z
302.469142,2021-08-09T00:00:00Z
309.962748,2021-08-10T00:00:00Z
312.892036,2021-08-11T00:00:00Z
311.573083,2021-08-12T00:00:00Z
309.491447,2021-08-13T00:00:00Z
305.749004,2021-08-14T00:00:00Z
320.598768,2021-08-15T00:00:00Z
319.864252,2021-08-16T00:00:00Z
316.651558,2021-08-17T00:00:00Z
310.059524,2021-08-18T00:00:00Z
313.459563,2021-08-19T00:00:00Z
312.361291,2021-08-20T00:00:00Z
306.628644,2021-08-21T00:00:00Z
315.294411,2021-08-22T00:00:00Z
312.569778,2021-08-23T00:00:00Z
314.925772,2021-08-24T00:00:00Z
310.295229,2021-08-25T00:00:00Z
307.681301,2021-08-26T00:00:00Z
307.185802,2021-08-27T00:00:00Z
305.717359,2021-08-28T00:00:00Z
321.118926,2021-08-29T00:00:00Z
323.969656,2021-08-30T00:00:00Z
321.829469,2021-08-31T00:00:00Z
306.837186,2021-09-01T00:00:00Z
305.119537,2021-09-02T00:00:00Z
298.477284,2021-09-03T00:00:00Z
302.556145,2021-09-04T00:00:00Z
314.080179,2021-09-05T00:00:00Z
321.4163,2021-09-06T00:00:00Z
316.984419,2021-09-07T00:00:00Z
312.720017,2021-09-08T00:00:00Z
310.368096,2021-09-09T00:00:00Z
300.831923,2021-09-10T00:00:00Z
306.804077,2021-09-11T00:00:00Z
319.804295,2021-09-12T00:00:00Z
317.94237,2021-09-13T00:00:00Z
329.198849,2021-09-14T00:00:00Z
345.324904,2021-09-15T00:00:00Z
318.327567,2021-09-16T00:00:00Z
313.279064,2021-09-17T00:00:00Z
303.936316,2021-09-18T00:00:00Z
314.462163,2021-09-19T00:00:00Z
315.643134,2021-09-20T00:00:00Z
308.207929,2021-09-21T00:00:00Z
296.794118,2021-09-22T00:00:00Z
290.003452,2021-09-23T00:00:00Z
287.103536,2021-09-24T00:00:00Z
289.728153,2021-09-25T00:00:00Z
298.044169,2021-09-26T00:00:00Z
300.021109,2021-09-27T00:00:00Z
294.765522,2021-09-28T00:00:00Z
290.04658,2021-09-29T00:00:00Z
288.676379,2021-09-30T00:00:00Z
282.573759,2021-10-01T00:00:00Z
289.569615,2021-10-02T00:00:00Z
311.51369,2021-10-03T00:00:00Z
307.627683,2021-10-04T00:00:00Z
298.806068,2021-10-05T00:00:00Z
295.299885,2021-10-06T00:00:00Z
289.187177,2021-10-07T00:00:00Z
285.536374,2021-10-08T00:00:00Z
288.356987,2021-10-09T00:00:00Z
305.196097,2021-10-10T00:00:00Z
303.264244,2021-10-11T00:00:00Z
293.423279,2021-10-12T00:00:00Z
291.815733,2021-10-13T00:00:00Z
296.342415,2021-10-14T00:00:00Z
294.466931,2021-10-15T00:00:00Z
290.803319,2021-10-16T00:00:00Z
304.515842,2021-10-17T00:00:00Z
307.88004,2021-10-18T00:00:00Z
293.350841,2021-10-19T00:00:00Z
290.024933,2021-10-20T00:00:00Z
290.061283,2021-10-21T00:00:00Z
285.789454,2021-10-22T00:00:00Z
285.545557,2021-10-23T00:00:00Z
298.434372,2021-10-24T00:00:00Z
306.969548,2021-10-25T00:00:00Z
302.401224,2021-10-26T00:00:00Z
300.752618,2021-10-27T00:00:00Z
296.412615,2021-10-28T00:00:00Z
295.073539,2021-10-29T00:00:00Z
288.224837,2021-10-30T00:00:00Z
299.045244,2021-10-31T00:00:00Z
299.159759,2021-11-01T00:00:00Z
304.707081,2021-11-02T00:00:00Z
292.139826,2021-11-03T00:00:00Z
284.922743,2021-11-04T00:00:00Z
281.292182,2021-11-05T00:00:00Z
276.604923,2021-11-06T00:00:00Z
297.574926,2021-11-07T00:00:00Z
295.989931,2021-11-08T00:00:00Z
298.594477,2021-11-09T00:00:00Z
287.301336,2021-11-10T00:00:00Z
288.235658,2021-11-11T00:00:00Z
283.859793,2021-11-12T00:00:00Z
287.04484,2021-11-13T00:00:00Z
304.855123,2021-11-14T00:00:00Z
304.107156,2021-11-15T00:00:00Z
288.578229,2021-11-16T00:00:00Z
291.237326,2021-11-17T00:00:00Z
291.538066,2021-11-18T00:00:00Z
277.398197,2021-11-19T00:00:00Z
275.038923,2021-11-20T00:00:00Z
291.316483,2021-11-21T00:00:00Z
289.021524,2021-11-22T00:00:00Z
282.756044,2021-11-23T00:00:00Z
279.652336,2021-11-24T00:00:00Z
276.586801,2021-11-25T00:00:00Z
272.844272,2021-11-26T00:00:00Z
283.460496,2021-11-27T00:00:00Z
298.083087,2021-11-28T00:00:00Z
294.986202,2021-11-29T00:00:00Z
289.19579,2021-11-30T00:00:00Z
283.421719,2021-12-01T00:00:00Z
280.178562,2021-12-02T00:00:00Z
276.868051,2021-12-03T00:00:00Z
279.427129,2021-12-04T00:00:00Z
297.187911,2021-12-05T00:00:00Z
294.434315,2021-12-06T00:00:00Z
289.098851,2021-12-07T00:00:00Z
289.178402,2021-12-08T00:00:00Z
283.888844,2021-12-09T00:00:00Z
278.682034,2021-12-10T00:00:00Z
274.324672,2021-12-11T00:00:00Z
290.512145,2021-12-12T00:00:00Z
291.548149,2021-12-13T00:00:00Z
282.605691,2021-12-14T00:00:00Z
284.506928,2021-12-15T00:00:00Z
276.710879,2021-12-16T00:00:00Z
270.207835,2021-12-17T00:00:00Z
270.672136,2021-12-18T00:00:00Z
287.783245,2021-12-19T00:00:00Z
283.736768,2021-12-20T00:00:00Z
271.438349,2021-12-21T00:00:00Z
273.133636,2021-12-22T00:00:00Z
265.038764,2021-12-23T00:00:00Z
262.739827,2021-12-24T00:00:00Z
272.649514,2021-12-25T00:00:00Z
290.816285,2021-12-26T00:00:00Z
295.275969,2021-12-27T00:00:00Z
294.884836,2021-12-28T00:00:00Z
299.279451,2021-12-29T00:00:00Z
291.52961,2021-12-30T00:00:00Z
279.313198,2021-12-31T00:00:00Z
309.400637,2022-01-01T00:00:00Z
323.259792,2022-01-02T00:00:00Z
313.27214,2022-01-03T00:00:00Z
301.076635,2022-01-04T00:00:00Z
300.782348,2022-01-05T00:00:00Z
300.675836,2022-01-06T00:00:00Z
305.278353,2022-01-07T00:00:00Z
313.546646,2022-01-08T00:00:00Z
325.346285,2022-01-09T00:00:00Z
317.62941,2022-01-10T00:00:00Z
308.187335,2022-01-11T00:00:00Z
303.892072,2022-01-12T00:00:00Z
301.948931,2022-01-13T00:00:00Z
299.883517,2022-01-14T00:00:00Z
302.497911,2022-01-15T00:00:00Z
317.886776,2022-01-16T00:00:00Z
309.919796,2022-01-17T00:00:00Z
305.038495,2022-01-18T00:00:00Z
300.430996,2022-01-19T00:00:00Z
310.89088,2022-01-20T00:00:00Z
309.900497,2022-01-21T00:00:00Z
307.445718,2022-01-22T00:00:00Z
323.306676,2022-01-23T00:00:00Z
313.258087,2022-01-24T00:00:00Z
307.088936,2022-01-25T00:00:00Z
307.505498,2022-01-26T00:00:00Z
316.590066,2022-01-27T00:00:00Z
318.078314,2022-01-28T00:00:00Z
325.150175,2022-01-29T00:00:00Z
343.780904,2022-01-30T00:00:00Z
333.795051,2022-01-31T00:00:00Z
315.536583,2022-02-01T00:00:00Z
316.903382,2022-02-02T00:00:00Z
318.730082,2022-02-03T00:00:00Z
318.769596,2022-02-04T00:00:00Z
320.38827,2022-02-05T00:00:00Z
336.22648,2022-02-06T00:00:00Z
331.738296,2022-02-07T00:00:00Z
328.224186,2022-02-08T00:00:00Z
321.455909,2022-02-09T00:00:00Z
317.131054,2022-02-10T00:00:00Z
309.440665,2022-02-11T00:00:00Z
317.420636,2022-02-12T00:00:00Z
352.323653,2022-02-13T00:00:00Z
335.249462,2022-02-14T00:00:00Z
315.300811,2022-02-15T00:00:00Z
316.362812,2022-02-16T00:00:00Z
307.475327,2022-02-17T00:00:00Z
305.570045,2022-02-18T00:00:00Z
311.406125,2022-02-19T00:00:00Z
327.439242,2022-02-20T00:00:00Z
329.559722,2022-02-21T00:00:00Z
322.336965,2022-02-22T00:00:00Z
322.661304,2022-02-23T00:00:00Z
326.078564,2022-02-24T00:00:00Z
334.180968,2022-02-25T00:00:00Z
322.249506,2022-02-26T00:00:00Z
336.522379,2022-02-27T00:00:00Z
331.156878,2022-02-28T00:00:00Z
