views,date
264.542787,2015-07-01T00:00:00Z
270.34005,2015-07-02T00:00:00Z
253.265588,2015-07-03T00:00:00Z
253.088829,2015-07-04T00:00:00Z
266.057125,2015-07-05T00:00:00Z
295.232447,2015-07-06T00:00:00Z
284.852934,2015-07-07T00:00:00Z
284.349313,2015-07-08T00:00:00Z
287.886577,2015-07-09T00:00:00Z
272.928819,2015-07-10T00:00:00Z
256.332749,2015-07-11T00:00:00Z
277.496269,2015-07-12T00:00:00Z
291.507231,2015-07-13T00:00:00Z
285.62343,2015-07-14T00:00:00Z
279.702749,2015-07-15T00:00:00Z
275.494706,2015-07-16T00:00:00Z
265.363827,2015-07-17T00:00:00Z
254.878046,2015-07-18T00:00:00Z
274.995432,2015-07-19T00:00:00Z
291.594028,2015-07-20T00:00:00Z
279.927644,2015-07-21T00:00:00Z
278.059086,2015-07-22T00:00:00Z
276.560959,2015-07-23T00:00:00Z
265.616838,2015-07-24T00:00:00Z
259.88008,2015-07-25T00:00:00Z
273.793015,2015-07-26T00:00:00Z
278.78118,2015-07-27T00:00:00Z
286.076545,2015-07-28T00:00:00Z
298.396278,2015-07-29T00:00:00Z
270.553655,2015-07-30T00:00:00Z
264.423447,2015-07-31T00:00:00Z
254.031394,2015-08-01T00:00:00Z
260.589061,2015-08-02T00:00:00Z
244.65425,2015-08-03T00:00:00Z
270.049948,2015-08-04T00:00:00Z
268.89609,2015-08-05T00:00:00Z
266.350532,2015-08-06T00:00:00Z
266.093608,2015-08-07T00:00:00Z
252.998454,2015-08-08T00:00:00Z
274.011785,2015-08-09T00:00:00Z
271.645974,2015-08-10T00:00:00Z
281.510157,2015-08-11T00:00:00Z
275.514918,2015-08-12T00:00:00Z
273.490639,2015-08-13T00:00:00Z
266.64877,2015-08-14T00:00:00Z
255.128973,2015-08-15T00:00:00Z
277.794226,2015-08-16T00:00:00Z
289.032998,2015-08-17T00:00:00Z
282.907632,2015-08-18T00:00:00Z
277.939741,2015-08-19T00:00:00Z
277.204958,2015-08-20T00:00:00Z
268.864807,2015-08-21T00:00:00Z
258.078689,2015-08-22T00:00:00Z
282.519959,2015-08-23T00:00:00Z
288.348355,2015-08-24T00:00:00Z
286.828095,2015-08-25T00:00:00Z
283.092256,2015-08-26T00:00:00Z
272.073171,2015-08-27T00:00:00Z
264.922452,2015-08-28T00:00:00Z
255.909267,2015-08-29T00:00:00Z
271.658445,2015-08-30T00:00:00Z
286.969369,2015-08-31T00:00:00Z
277.175388,2015-09-01T00:00:00Z
283.209905,2015-09-02T00:00:00Z
287.34736,2015-09-03T00:00:00Z
272.337139,2015-09-04T00:00:00Z
268.422518,2015-09-05T00:00:00Z
292.25404,2015-09-06T00:00:00Z
306.425772,2015-09-07T00:00:00Z
316.571838,2015-09-08T00:00:00Z
294.412148,2015-09-09T00:00:00Z
280.450803,2015-09-10T00:00:00Z
284.32716,2015-09-11T00:00:00Z
273.942201,2015-09-12T00:00:00Z
292.669881,2015-09-13T00:00:00Z
295.846688,2015-09-14T00:00:00Z
293.56954,2015-09-15T00:00:00Z
297.021744,2015-09-16T00:00:00Z
297.512694,2015-09-17T00:00:00Z
278.388148,2015-09-18T00:00:00Z
263.015347,2015-09-19T00:00:00Z
288.762738,2015-09-20T00:00:00Z
304.978344,2015-09-21T00:00:00Z
299.851614,2015-09-22T00:00:00Z
301.224672,2015-09-23T00:00:00Z
294.673691,2015-09-24T00:00:00Z
278.297634,2015-09-25T00:00:00Z
261.605562,2015-09-26T00:00:00Z
285.083276,2015-09-27T00:00:00Z
296.466615,2015-09-28T00:00:00Z
291.466986,2015-09-29T00:00:00Z
287.618502,2015-09-30T00:00:00Z
271.921429,2015-10-01T00:00:00Z
270.151607,2015-10-02T00:00:00Z
258.751742,2015-10-03T00:00:00Z
284.354777,2015-10-04T00:00:00Z
296.780121,2015-10-05T00:00:00Z
310.252624,2015-10-06T00:00:00Z
300.292763,2015-10-07T00:00:00Z
284.003731,2015-10-08T00:00:00Z
276.296587,2015-10-09T00:00:00Z
264.495197,2015-10-10T00:00:00Z
275.900559,2015-10-11T00:00:00Z
298.693418,2015-10-12T00:00:00Z
302.324049,2015-10-13T00:00:00Z
304.437248,2015-10-14T00:00:00Z
299.056485,2015-10-15T00:00:00Z
275.790456,2015-10-16T00:00:00Z
264.802774,2015-10-17T00:00:00Z
286.584148,2015-10-18T00:00:00Z
299.890968,2015-10-19T00:00:00Z
304.620198,2015-10-20T00:00:00Z
